Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
MinMax,30,377.682633902292,-48.1810699356622,288.94075914563,0.215660850411115,0.127175488703734,0.031931270314084,1.15045798139687,7,12351,0.987382856089842
MinMax,40,377.811292582113,-50.4764501804034,291.493456750013,0.194624609552467,0.0855935117357945,0.0410480473634956,1.10002867352732,7,12351,0.987382856089842
MinMax,60,370.677529701094,-54.7379635970421,281.487444404614,0.111671938727504,0.00839403546374389,0.0053122894147136,1.0832902152817,7,12351,0.987382856089842
Corr,10,399.225782955043,-6.48241332934248,290.328400644811,0.52165543449182,0.882567795738885,0.0368871327518537,1.09841401456058,7,12351,0.987382856089842
Corr,20,380.934372940605,-48.7245036914297,295.987670978023,0.303421267228715,0.117330910678939,0.0570988122714549,1.09612200950708,7,12351,0.987382856089842
Corr,30,374.441427297785,-52.578099567115,286.855375568068,0.241354382147938,0.0475210674890771,0.0244834719119151,1.05409418984348,7,12351,0.987382856089842
Corr,40,369.617539502793,-55.2492213183752,279.878721729345,0.192126802061381,0.000867657382947319,0.000433148642495667,1.0015681366134,7,12351,0.987382856089842
Corr,60,370.66202126078,-56.5740075491313,283.292471476075,0.102376368210369,0.0248668316639611,0.0117588145927871,1.05651730584219,7,12351,0.987382856089842
MinMax,10,378.904714717762,-53.7442378492632,296.94808869017,0.356894215512565,0.301400204260572,0.0605290828176896,1.12806180453943,8,12352,1.0291338847745
MinMax,20,371.463810046365,-64.5123887195025,292.834430217616,0.275244257157309,0.161429329251808,0.0458374427193598,1.05243162872265,8,12352,1.0291338847745
MinMax,30,365.005171518974,-70.1583449617544,285.563109405086,0.197591832303313,0.0880398081527562,0.0198684350513841,1.11142854569389,8,12352,1.0291338847745
MinMax,40,360.753456660949,-72.2919326554485,279.19326738273,0.172007605031511,0.0603061573158554,0.00288100491794166,1.1049100203817,8,12352,1.0291338847745
MinMax,60,359.577311704187,-76.5501003804647,281.099145194223,0.0952478663318916,0.0049559426330485,0.0039257028009087,1.11550722215847,8,12352,1.0291338847745
Corr,10,379.911728242802,-33.7173373399398,278.935215230927,0.46540700010032,0.561721852961726,0.00380261991495272,1.0529878410396,8,12352,1.0291338847745
Corr,20,373.278749337893,-71.6388626553734,303.590782736544,0.307457874247439,0.068795152358182,0.0842529944802077,1.09408038407944,8,12352,1.0291338847745
Corr,30,365.731167368841,-74.6007230410369,291.457479184102,0.243550216755446,0.0302951169453328,0.0409197595542678,1.05943149754993,8,12352,1.0291338847745
Corr,40,364.072473446173,-76.9271353574187,290.466503655148,0.191601473339658,5.50161630250623e-05,0.0373805605870287,1.22313277635915,8,12352,1.0291338847745
Corr,60,361.382551416846,-78.1393378151588,286.298862054235,0.107992597739726,0.0157019174778837,0.0224961235663167,0.980212799307707,8,12352,1.0291338847745
MinMax,10,409.608530551897,11.3955457783309,293.215936730846,0.341460437626671,1.81401784527248,0.047199677129492,1.16484940601485,9,12353,1.04189425815503
